DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AK,23,34805.13043,8401.956522
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL,879,29855.34812,5857.175199
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR,652,24697.36196,5932.611963
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ,606,33581.31518,7034.481848
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA,1715,54275.0933,8251.969679
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO,255,33554.16079,6911.513725
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT,384,20990.80469,8144.010417
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DC,47,44919.38298,9241.595745
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DE,144,21781.15973,7341.520834
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL,2847,38464.45311,6145.549701
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA,1015,25590.07192,6384.631527
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,HI,24,27809.95833,10982.04167
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA,518,22329.88224,6127.6139
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID,113,18150.97345,6457.238938
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL,1240,32784.11936,7206.501613
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN,1078,26888.43599,6597.545455
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS,594,21765.30808,5879.713805
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY,728,22308.06456,6347.608517
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA,743,31186.65007,6361.86541
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA,732,24744.5929,8585.853825
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD,706,8908.994334,8408.524079
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME,205,14048.1122,7104.248781
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI,1325,21635.09887,7151.65283
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN,445,24449.32809,7485.431461
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO,1030,24273.88058,6086.775728
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS,588,23595.94048,6180.792517
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT,174,18649.95977,6421.494253
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC,1141,22006.86503,7052.05872
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND,178,13430.51124,6375.629214
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE,318,17836.87421,6373.160377
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH,216,23541.23611,7159.777778
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ,819,34441.39316,7362.549451
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NM,128,31715.58594,6129.289063
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV,311,42325.01929,7095.189711
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY,1336,21831.8765,7977.950599
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH,1186,28956.74115,6615.512648
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK,463,23024.69762,6240.190065
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR,354,22563.85593,7089.514124
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA,1003,32782.51147,6750.95015
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,RI,76,24314.03948,8430.434211
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC,721,33960.03606,6686.821082
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD,156,21771.35897,6706.358974
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN,986,24046.68763,6271.445233
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX,2871,29042.30059,6490.018112
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT,109,20488.02752,6928.330275
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA,827,26379.23942,6764.241838
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VT,57,17934.35088,9290.807018
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA,531,31356.77024,7665.86629
